Name,Location,Distance from downtown,Description,Current price (€),More information,Website
Clayton Hotel Burlington Road,"Ballsbridge, Dublin",2.3 km ,Standard King Room • 1 king bed,€ 143,"1 night, 2 adults",https://hotel1.tiiny.site/
The Chancery Hotel,"Dublin City Centre, Dublin",1 km ,Standard King Room • 1 queen bed,€ 234,"1 night, 2 adults",https://hotel1.tiiny.site/
Beckett Locke,"Dublin City Centre, Dublin",2 km ,One-Bedroom Apartment • 1 bedroom • 1 living room • 1 queen bed,€ 190,"1 night, 2 adults",https://hotel1.tiiny.site/
The Grafton Hotel,"Saint Stephen's Green, Dublin",1 km ,Standard Double Room • 1 full bed,€ 309,"1 night, 2 adults",https://hotel1.tiiny.site/
Harcourt Hotel,"Saint Stephen's Green, Dublin",1.7 km ,Double Room (Maximum Occupancy: 2 People) • 1 full bed,€ 169,"1 night, 2 adults",https://hotel1.tiiny.site/
Mespil Hotel,"Ballsbridge, Dublin",2 km ,Superior Twin Room • 2 twin beds,€ 199,"1 night, 2 adults",https://hotel1.tiiny.site/
Trinity Townhouse Hotel,"Saint Stephen's Green, Dublin",0.9 km ,Classic Double Room • 1 full bed,€ 339,"1 night, 2 adults",https://hotel1.tiiny.site/
The Dean Dublin,"Saint Stephen's Green, Dublin",1.6 km ,The Large • 1 king bed,€ 234,"1 night, 2 adults",https://hotel1.tiiny.site/
Clontarf Castle Hotel,"Clontarf, Dublin",3.9 km ,Standard Twin Room • 2 twin beds,€ 189,"1 night, 2 adults",https://hotel1.tiiny.site/
The Trinity City Hotel,"Dublin City Centre, Dublin",0.6 km ,Double Room • 1 full bed,€ 214,"1 night, 2 adults",https://hotel1.tiiny.site/
Zanzibar Locke,"Dublin City Centre, Dublin",450 m ,Locke Studio - Twin • Entire studio • 2 twin beds,€ 209,"1 night, 2 adults",https://hotel1.tiiny.site/
Butlers Townhouse,"Ballsbridge, Dublin",2.6 km ,Standard Twin Room • 2 twin beds,€ 151,"1 night, 2 adults",https://hotel1.tiiny.site/
Pembroke Townhouse,"Ballsbridge, Dublin",2.5 km ,Small Double Room • 1 full bed,€ 167,"1 night, 2 adults",https://hotel1.tiiny.site/
The Davenport,"Dublin City Centre, Dublin",1.1 km ,King Room • 1 king bed,€ 261,"1 night, 2 adults",https://hotel1.tiiny.site/
Aloft Dublin City,"Dublin City Centre, Dublin",1.7 km ,Aloft King Room • 1 king bed,€ 178,"1 night, 2 adults",https://hotel1.tiiny.site/
Staycity Aparthotels Dublin Tivoli,"Dublin City Centre, Dublin",1.3 km ,Standard Studio • Entire studio • 2 twin beds,€ 169,"1 night, 2 adults",https://hotel1.tiiny.site/
Brooks Hotel,"Saint Stephen's Green, Dublin",0.9 km ,City Queen • 1 queen bed,€ 240,"1 night, 2 adults",https://hotel1.tiiny.site/
citizenM Dublin St Patrick's,"Dublin City Centre, Dublin",1.2 km ,King Room • 1 king bed,€ 203,"1 night, 2 adults",https://hotel1.tiiny.site/
Maples House Hotel,Dublin,1.9 km ,Twin Room • 2 twin beds,€ 143,"1 night, 2 adults",https://hotel1.tiiny.site/
The Lansdowne Hotel,"Ballsbridge, Dublin",2.3 km ,Twin Room • 2 twin beds,€ 149,"1 night, 2 adults",https://hotel1.tiiny.site/
The Address Connolly,"Dublin City Centre, Dublin",0.7 km ,"Classic Triple Room • 2 beds (1 twin, 1 full)",€ 229,"1 night, 2 adults",https://hotel1.tiiny.site/
Moxy Dublin City,"Dublin City Centre, Dublin",150 m ,Queen Room • 1 queen bed,€ 195,"1 night, 2 adults",https://hotel1.tiiny.site/
The Merry Cobbler,"Ballsbridge, Dublin",2.8 km ,Double Room • 1 full bed,€ 160,"1 night, 2 adults",https://hotel1.tiiny.site/
"The Morrison Dublin, Curio Collection by Hilton","Dublin City Centre, Dublin",0.5 km ,King Guest Room • 1 king bed,€ 252,"1 night, 2 adults",https://hotel1.tiiny.site/
Hilton Garden Inn Dublin City Centre,"Dublin City Centre, Dublin",0.9 km ,Queen Room • 1 queen bed,€ 203,"1 night, 2 adults",https://hotel1.tiiny.site/
Bonnington Hotel & Leisure Centre,Dublin,3.2 km ,Classic Double or Twin Room • 1 double or 2 twins,€ 161,"1 night, 2 adults",https://hotel1.tiiny.site/
Phoenix Park Hotel,Dublin,2.3 km ,Twin Room • 2 twin beds,€ 149,"1 night, 2 adults",https://hotel1.tiiny.site/
The Croke Park Hotel,"Drumcondra, Dublin",1.3 km ,Double Classic Queen Bed • 1 queen bed,€ 195,"1 night, 2 adults",https://hotel1.tiiny.site/
Clayton Hotel Cardiff Lane,"Dublin City Centre, Dublin",1.4 km ,Executive King Room • 1 king bed,€ 243,"1 night, 2 adults",https://hotel1.tiiny.site/
Waterloo Town House & Suites,"Ballsbridge, Dublin",2.3 km ,Double Room • 1 queen bed,€ 174,"1 night, 2 adults",https://hotel1.tiiny.site/
Harding Hotel,"Temple Bar, Dublin",0.9 km ,Double or Twin Room • Multiple bed types,€ 189,"1 night, 2 adults",https://hotel1.tiiny.site/
Stauntons on the Green Hotel,"Saint Stephen's Green, Dublin",1.5 km ,Small Double Room • 1 full bed,€ 263,"1 night, 2 adults",https://hotel1.tiiny.site/
Blooms Hotel,"Temple Bar, Dublin",0.6 km ,Twin Room • 2 twin beds,€ 199,"1 night, 2 adults",https://hotel1.tiiny.site/
The Alex,"Dublin City Centre, Dublin",1.1 km ,King Room • 1 king bed,€ 279,"1 night, 2 adults",https://hotel1.tiiny.site/
Arlington Hotel O'Connell Bridge,"Dublin City Centre, Dublin",300 m ,Standard Twin Room • 2 twin beds,€ 168,"1 night, 2 adults",https://hotel1.tiiny.site/
Clayton Hotel Burlington Road,"Ballsbridge, Dublin",2.3 km ,Standard King Room • 1 king bed,€ 150,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
The Chancery Hotel,"Dublin City Centre, Dublin",1 km ,Standard King Room • 1 queen bed,€ 229,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Beckett Locke,"Dublin City Centre, Dublin",2 km ,One-Bedroom Apartment • 1 bedroom • 1 living room • 1 queen bed,€ 200,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
The Grafton Hotel,"Saint Stephen's Green, Dublin",1 km ,Standard Double Room • 1 full bed,€ 303,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Harcourt Hotel,"Saint Stephen's Green, Dublin",1.7 km ,Double Room (Maximum Occupancy: 2 People) • 1 full bed,€ 177,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Mespil Hotel,"Ballsbridge, Dublin",2 km ,Superior Twin Room • 2 twin beds,€ 195,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Trinity Townhouse Hotel,"Saint Stephen's Green, Dublin",0.9 km ,Classic Double Room • 1 full bed,€ 356,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
The Dean Dublin,"Saint Stephen's Green, Dublin",1.6 km ,The Large • 1 king bed,€ 229,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Clontarf Castle Hotel,"Clontarf, Dublin",3.9 km ,Standard Twin Room • 2 twin beds,€ 185,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
The Trinity City Hotel,"Dublin City Centre, Dublin",0.6 km ,Double Room • 1 full bed,€ 225,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Zanzibar Locke,"Dublin City Centre, Dublin",450 m ,Locke Studio - Twin • Entire studio • 2 twin beds,€ 205,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Butlers Townhouse,"Ballsbridge, Dublin",2.6 km ,Standard Twin Room • 2 twin beds,€ 159,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Pembroke Townhouse,"Ballsbridge, Dublin",2.5 km ,Small Double Room • 1 full bed,€ 164,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
The Davenport,"Dublin City Centre, Dublin",1.1 km ,King Room • 1 king bed,€ 274,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Aloft Dublin City,"Dublin City Centre, Dublin",1.7 km ,Aloft King Room • 1 king bed,€ 187,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Staycity Aparthotels Dublin Tivoli,"Dublin City Centre, Dublin",1.3 km ,Standard Studio • Entire studio • 2 twin beds,€ 166,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Brooks Hotel,"Saint Stephen's Green, Dublin",0.9 km ,City Queen • 1 queen bed,€ 235,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
citizenM Dublin St Patrick's,"Dublin City Centre, Dublin",1.2 km ,King Room • 1 king bed,€ 213,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Maples House Hotel,Dublin,1.9 km ,Twin Room • 2 twin beds,€ 140,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
The Lansdowne Hotel,"Ballsbridge, Dublin",2.3 km ,Twin Room • 2 twin beds,€ 156,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
The Address Connolly,"Dublin City Centre, Dublin",0.7 km ,"Classic Triple Room • 2 beds (1 twin, 1 full)",€ 224,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Moxy Dublin City,"Dublin City Centre, Dublin",150 m ,Queen Room • 1 queen bed,€ 205,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
The Merry Cobbler,"Ballsbridge, Dublin",2.8 km ,Double Room • 1 full bed,€ 168,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
"The Morrison Dublin, Curio Collection by Hilton","Dublin City Centre, Dublin",0.5 km ,King Guest Room • 1 king bed,€ 247,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Hilton Garden Inn Dublin City Centre,"Dublin City Centre, Dublin",0.9 km ,Queen Room • 1 queen bed,€ 199,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Bonnington Hotel & Leisure Centre,Dublin,3.2 km ,Classic Double or Twin Room • 1 double or 2 twins,€ 169,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Phoenix Park Hotel,Dublin,2.3 km ,Twin Room • 2 twin beds,€ 146,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
The Croke Park Hotel,"Drumcondra, Dublin",1.3 km ,Double Classic Queen Bed • 1 queen bed,€ 191,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Clayton Hotel Cardiff Lane,"Dublin City Centre, Dublin",1.4 km ,Executive King Room • 1 king bed,€ 255,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Waterloo Town House & Suites,"Ballsbridge, Dublin",2.3 km ,Double Room • 1 queen bed,€ 183,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Harding Hotel,"Temple Bar, Dublin",0.9 km ,Double or Twin Room • Multiple bed types,€ 185,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Stauntons on the Green Hotel,"Saint Stephen's Green, Dublin",1.5 km ,Small Double Room • 1 full bed,€ 276,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Blooms Hotel,"Temple Bar, Dublin",0.6 km ,Twin Room • 2 twin beds,€ 209,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
The Alex,"Dublin City Centre, Dublin",1.1 km ,King Room • 1 king bed,€ 273,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
Arlington Hotel O'Connell Bridge,"Dublin City Centre, Dublin",300 m ,Standard Twin Room • 2 twin beds,€ 176,"1 night, 2 adults",https://booking-hotels2.tiiny.site/
